sample_id,label,split,case_type,selected_for_primary,selected_for_deep,selected_for_ablation,rationale_available
1114610623072088064_twitter,1,test,primary,true,false,false,true
1077642216363958278_twitter,2,test,primary,true,false,false,false
18046807_gab,2,test,primary,true,false,false,false
18388078_gab,0,test,primary,true,false,false,true
1081753791911862273_twitter,2,test,primary,true,false,false,false
1123697297467031558_twitter,2,test,primary,true,false,false,false
24247856_gab,0,test,primary,true,false,false,true
24198545_gab,0,test,primary,true,false,false,true
1116973303661584384_twitter,2,test,primary,true,false,false,false
8780029_gab,2,test,primary,true,true,false,false
24923292_gab,0,test,primary,true,false,false,true
20526500_gab,0,test,primary,true,true,false,true
1187124720208093184_twitter,1,test,primary,true,false,false,true
20187632_gab,0,test,primary,true,false,false,true
1179008255948972035_twitter,2,test,primary,true,false,false,false
1172772994697039872_twitter,1,test,primary,true,false,false,true
1179105254484434944_twitter,2,test,primary,true,false,false,false
18537046_gab,2,test,primary,true,false,false,false
12043182_gab,0,test,primary,true,false,false,true
1097835177055801350_twitter,2,test,primary,true,false,false,false
21177346_gab,1,test,primary,true,false,false,true
1179093514635882496_twitter,1,test,primary,true,false,false,true
24949183_gab,2,test,primary,true,false,false,false
15413395_gab,0,test,primary,true,false,false,true
1117597598666362881_twitter,1,test,primary,true,false,false,true
10722961_gab,2,test,primary,true,false,false,false
1179102559241244672_twitter,1,test,primary,true,false,false,true
20186851_gab,0,test,primary,true,false,false,true
23669800_gab,1,test,primary,true,false,false,true
23847540_gab,1,test,primary,true,true,false,true
1092728972679426048_twitter,2,test,deep,false,true,false,false
11498486_gab,0,test,deep,false,true,false,true
17386929_gab,1,test,deep,false,true,false,true
1174186731006042114_twitter,1,test,deep,false,true,false,true
1179088288340160514_twitter,1,test,deep,false,true,false,true
1179080158340407297_twitter,1,test,deep,false,true,false,true
19433376_gab,1,test,deep,false,true,false,true
20710599_gab,0,test,deep,false,true,false,true
20531434_gab,1,test,deep,false,true,false,true
14449986_gab,2,test,deep,false,true,false,false
8544506_gab,1,test,deep,false,true,false,true
1178760102012174338_twitter,0,test,deep,false,true,false,true
1178759746683146240_twitter,0,test,deep,false,true,false,true
10827321_gab,1,test,deep,false,true,false,true
1178262260063584257_twitter,2,test,deep,false,true,false,false
25427359_gab,0,test,deep,false,true,false,true
19372895_gab,0,test,deep,false,true,false,true
20632309_gab,0,test,deep,false,true,false,true
1179100501297774596_twitter,2,test,deep,false,true,false,false
17408390_gab,0,test,deep,false,true,false,true
26403158_gab,0,test,deep,false,true,false,true
1179065369094344705_twitter,2,test,deep,false,true,false,false
1179092923700404230_twitter,2,test,deep,false,true,false,false
1184634368976998406_twitter,2,test,deep,false,true,false,false
26516753_gab,0,test,deep,false,true,false,true
1178690096544960513_twitter,2,test,deep,false,true,false,false
1173341490682179585_twitter,2,test,deep,false,true,false,false
1232998850647846915_twitter,2,test,deep,false,true,false,false
1178495903113650176_twitter,2,test,deep,false,true,false,false
1189522154985005057_twitter,2,test,deep,false,true,false,false
1109450987440353280_twitter,2,test,deep,false,true,false,false
25617308_gab,0,test,deep,false,true,false,true
16397101_gab,0,test,deep,false,true,false,true
1205626713692131334_twitter,1,test,deep,false,true,false,true
1179034396575186951_twitter,2,test,deep,false,true,false,false
18961075_gab,0,test,deep,false,true,false,true
1179097174078042113_twitter,2,test,deep,false,true,false,false
1178873953332465664_twitter,1,test,deep,false,true,false,true
1180148074317938689_twitter,2,test,deep,false,true,false,false
1178355699731943424_twitter,2,test,deep,false,true,false,false
22707292_gab,1,test,deep,false,true,false,true
18632081_gab,1,test,deep,false,true,false,true
1144304210835660802_twitter,2,test,deep,false,true,false,false
12651974_gab,0,test,deep,false,true,false,true
24395272_gab,0,test,deep,false,true,false,true
13016067_gab,2,test,deep,false,true,false,false
7069129_gab,0,test,deep,false,true,false,true
4371004_gab,2,test,deep,false,true,false,false
1909103_gab,0,test,deep,false,true,false,true
12128335_gab,1,test,deep,false,true,false,true
1087114213099745281_twitter,0,test,deep,false,true,false,true
12295238_gab,2,test,deep,false,true,false,false
1095720677431218177_twitter,2,test,deep,false,true,false,false
1178637505710583810_twitter,1,test,deep,false,true,false,true
22269387_gab,0,test,deep,false,true,false,true
8009733_gab,1,test,deep,false,true,false,true
1179097984748929025_twitter,2,test,deep,false,true,false,false
23161218_gab,0,test,deep,false,true,false,true
15937737_gab,0,test,deep,false,true,false,true
1179097570326523904_twitter,2,test,deep,false,true,false,false
1165536042658648065_twitter,1,test,deep,false,true,false,true
17302276_gab,1,test,deep,false,true,false,true
1179045128318701574_twitter,2,test,deep,false,true,false,false
24517138_gab,1,test,deep,false,true,false,true
1179084466066731012_twitter,2,test,deep,false,true,false,false
1178630584320561152_twitter,2,test,deep,false,true,false,false
1261774879889731586_twitter,2,test,deep,false,true,false,false
19067466_gab,2,test,deep,false,true,false,false
6655495_gab,2,test,deep,false,true,false,false
1178759437550522370_twitter,2,test,deep,false,true,false,false
24954806_gab,1,test,deep,false,true,false,true
24198611_gab,2,test,deep,false,true,false,false
1179103606752055298_twitter,1,test,deep,false,true,false,true
1080526960596602880_twitter,2,test,deep,false,true,false,false
1179087007676600325_twitter,2,test,deep,false,true,false,false
15751007_gab,2,test,deep,false,true,false,false
1187204382619619334_twitter,2,test,deep,false,true,false,false
19543142_gab,0,test,deep,false,true,false,true
1117669628015255552_twitter,1,test,deep,false,true,false,true
18465892_gab,0,test,deep,false,true,false,true
19132473_gab,2,test,deep,false,true,false,false
16495378_gab,2,test,deep,false,true,false,false
14888314_gab,1,test,deep,false,true,false,true
1165966377515012097_twitter,1,test,deep,false,true,false,true
17032984_gab,0,test,deep,false,true,false,true
19787360_gab,1,test,deep,false,true,false,true
13126780_gab,2,test,deep,false,true,false,false
3059842_gab,1,test,deep,false,true,false,true
1145916476131614721_twitter,2,test,deep,false,true,false,false
1178748205690970118_twitter,2,test,deep,false,true,false,false
1179037768195817472_twitter,2,test,deep,false,true,true,false
27770061_gab,0,test,deep,false,true,false,true
17889104_gab,0,test,deep,false,true,false,true
2378579_gab,1,test,deep,false,true,false,true
25778815_gab,0,test,deep,false,true,false,true
1165357230327250945_twitter,1,test,deep,false,true,false,true
2008149_gab,1,test,deep,false,true,false,true
1179051284630048768_twitter,2,test,deep,false,true,false,false
15257125_gab,0,test,deep,false,true,false,true
20441809_gab,0,test,deep,false,true,false,true
1178883137335693312_twitter,2,test,deep,false,true,false,false
14170548_gab,1,test,deep,false,true,false,true
27799380_gab,0,test,deep,false,true,false,true
1208594187949690881_twitter,1,test,deep,false,true,false,true
1260367393097953280_twitter,2,test,deep,false,true,false,false
10912897_gab,0,test,deep,false,true,false,true
5123770_gab,0,test,deep,false,true,false,true
1178969000153214976_twitter,2,test,deep,false,true,false,false
1179022759780917249_twitter,2,test,deep,false,true,false,false
7441785_gab,2,test,deep,false,true,false,false
17363936_gab,1,test,deep,false,true,false,true
17337071_gab,0,test,deep,false,true,false,true
1179011759979614208_twitter,2,test,deep,false,true,false,false
1179103190740094977_twitter,2,test,deep,false,true,false,false
1192577739036848128_twitter,2,test,deep,false,true,false,false
1179104377409327104_twitter,2,test,deep,false,true,false,false
17433914_gab,0,test,deep,false,true,false,true
17311468_gab,0,test,deep,false,true,false,true
25531946_gab,0,test,deep,false,true,false,true
13031638_gab,0,test,deep,false,true,false,true
1179073524364910592_twitter,2,test,deep,false,true,false,false
1201250360133902337_twitter,2,test,deep,false,true,false,false
15320864_gab,0,test,deep,false,true,false,true
1215119887456251904_twitter,1,test,deep,false,true,false,true
5389528_gab,2,test,deep,false,true,false,false
16610584_gab,1,test,deep,false,true,false,true
1179010193495150592_twitter,2,test,deep,false,true,false,false
19799185_gab,1,test,deep,false,true,false,true
13651336_gab,1,test,deep,false,true,false,true
23170995_gab,0,test,deep,false,true,false,true
9053284_gab,0,test,deep,false,true,false,true
1111022706370072576_twitter,1,test,deep,false,true,false,true
1179017320016076800_twitter,1,test,deep,false,true,false,true
19977150_gab,1,test,deep,false,true,false,true
21713275_gab,0,test,deep,false,true,false,true
1124070783481937920_twitter,2,test,deep,false,true,false,false
1178697435033587712_twitter,2,test,deep,false,true,false,false
1095096665667600384_twitter,2,test,deep,false,true,false,false
1084632363727048704_twitter,2,test,deep,false,true,false,false
1125480647810867205_twitter,2,test,deep,false,true,false,false
1178760780587716608_twitter,2,test,deep,false,true,false,false
1178525090847379458_twitter,2,test,deep,false,true,false,false
1178539535048814592_twitter,2,test,deep,false,true,false,false
17865084_gab,1,test,deep,false,true,false,true
14783700_gab,2,test,deep,false,true,false,false
27083067_gab,0,test,deep,false,true,false,true
17570445_gab,0,test,deep,false,true,false,true
14875960_gab,1,test,deep,false,true,false,true
19590344_gab,0,test,deep,false,true,false,true
11087389_gab,0,test,deep,false,true,false,true
9055125_gab,1,test,deep,false,true,false,true
1178765634265636864_twitter,2,test,deep,false,true,false,false
1087086480332210176_twitter,2,test,deep,false,true,false,false
1275656302262394881_twitter,1,test,deep,false,true,false,true
1178978472225595392_twitter,1,test,deep,false,true,false,true
27013885_gab,1,test,deep,false,true,true,true
1178645475752370176_twitter,0,test,deep,false,true,false,true
8173697_gab,1,test,deep,false,true,false,true
16732270_gab,0,test,deep,false,true,false,true
25780671_gab,2,test,deep,false,true,false,false
1123690490136756225_twitter,2,test,deep,false,true,false,false
14330509_gab,1,test,deep,false,true,false,true
1178013753536724992_twitter,1,test,deep,false,true,false,true
1082448674830118917_twitter,1,test,deep,false,true,false,true
10888163_gab,0,test,deep,false,true,false,true
1168271529223819265_twitter,1,test,deep,false,true,false,true
14924314_gab,1,test,deep,false,true,false,true
1182315881948422145_twitter,2,test,deep,false,true,false,false
1122535416538644480_twitter,2,test,deep,false,true,false,false
1118271659058847744_twitter,2,test,deep,false,true,false,false
1179071257804988416_twitter,2,test,deep,false,true,false,false
1162943517464965120_twitter,2,test,deep,false,true,false,false
22280608_gab,1,test,deep,false,true,false,true
13000374_gab,1,test,deep,false,true,false,true
18409054_gab,0,test,deep,false,true,false,true
1179071582016282630_twitter,2,test,deep,false,true,false,false
1179001808116736000_twitter,2,test,deep,false,true,false,false
22258735_gab,0,test,deep,false,true,false,true
1179007069015248896_twitter,2,test,deep,false,true,false,false
1187881133570220035_twitter,2,test,deep,false,true,false,false
1179098974281588736_twitter,2,test,deep,false,true,false,false
22841530_gab,0,test,deep,false,true,false,true
1105577547675459586_twitter,2,test,deep,false,true,false,false
1088064713664151554_twitter,2,test,deep,false,true,false,false
6453946_gab,0,test,deep,false,true,false,true
1179018126333239298_twitter,2,test,deep,false,true,false,false
1164041423336988674_twitter,2,test,deep,false,true,false,false
11352243_gab,0,test,deep,false,true,false,true
1196256638547701761_twitter,1,test,deep,false,true,false,true
1474697_gab,0,test,deep,false,true,false,true
13146122_gab,1,test,deep,false,true,false,true
1179076526882643968_twitter,2,test,deep,false,true,false,false
20124669_gab,0,test,deep,false,true,false,true
26405922_gab,0,test,deep,false,true,false,true
1178833423965683712_twitter,2,test,deep,false,true,false,false
1178085955032383488_twitter,2,test,deep,false,true,false,false
26327600_gab,0,test,deep,false,true,false,true
6341812_gab,0,test,deep,false,true,false,true
1227920812235051008_twitter,1,test,deep,false,true,false,true
1179012297479639041_twitter,1,test,deep,false,true,false,true
1178861976702849024_twitter,2,test,deep,false,true,false,false
27638324_gab,2,test,deep,false,true,false,false
10380188_gab,2,test,deep,false,true,true,false
17007050_gab,1,test,deep,false,true,false,true
1179101130925719554_twitter,2,test,deep,false,true,false,false
13721631_gab,0,test,deep,false,true,false,true
16061648_gab,0,test,deep,false,true,false,true
17262898_gab,2,test,deep,false,true,false,false
12199801_gab,0,test,deep,false,true,false,true
11580960_gab,0,test,deep,false,true,false,true
1178813519921373185_twitter,2,test,deep,false,true,false,false
25331138_gab,0,test,deep,false,true,false,true
1246071447644143617_twitter,1,test,deep,false,true,false,true
23082971_gab,0,test,deep,false,true,false,true
1179054043056021504_twitter,2,test,deep,false,true,false,false
13846820_gab,0,test,deep,false,true,false,true
13333981_gab,1,test,deep,false,true,false,true
1179100302223511552_twitter,2,test,deep,false,true,false,false
15428053_gab,1,test,deep,false,true,false,true
1103357342790361088_twitter,2,test,deep,false,true,false,false
1178319561231360000_twitter,2,test,deep,false,true,false,false
1171304745023098880_twitter,1,test,deep,false,true,false,true
1145423755973279744_twitter,2,test,deep,false,true,false,false
1176201397831983105_twitter,2,test,deep,false,true,false,false
1178948001655599109_twitter,2,test,deep,false,true,false,false
1179105676355870727_twitter,2,test,deep,false,true,false,false
1085450894710370304_twitter,2,test,deep,false,true,false,false
18935258_gab,1,test,deep,false,true,false,true
13309159_gab,0,test,deep,false,true,false,true
15036536_gab,0,test,deep,false,true,false,true
6008840_gab,2,test,deep,false,true,false,false
19842848_gab,0,test,deep,false,true,false,true
18154601_gab,1,test,deep,false,true,false,true
21849624_gab,0,test,deep,false,true,false,true
18916303_gab,0,test,deep,false,true,false,true
12423012_gab,1,test,deep,false,true,false,true
9763628_gab,0,test,deep,false,true,false,true
1178755135830446081_twitter,2,test,deep,false,true,false,false
15980336_gab,0,test,deep,false,true,false,true
11561381_gab,2,test,deep,false,true,false,false
1211444261935288320_twitter,2,test,deep,false,true,false,false
14432295_gab,0,test,deep,false,true,false,true
12807965_gab,0,test,deep,false,true,false,true
1179052904642166784_twitter,2,test,deep,false,true,false,false
1179100927342465024_twitter,2,test,deep,false,true,false,false
18122043_gab,2,test,deep,false,true,false,false
1179101903235538944_twitter,2,test,deep,false,true,false,false
16944494_gab,2,test,deep,false,true,false,false
23889016_gab,1,test,deep,false,true,false,true
9832237_gab,0,test,deep,false,true,false,true
1176100944238587904_twitter,2,test,deep,false,true,false,false
1178875194267430912_twitter,2,test,deep,false,true,false,false
18971905_gab,2,test,deep,false,true,false,false
24935273_gab,1,test,deep,false,true,false,true
1178491619760312320_twitter,2,test,deep,false,true,false,false
25820735_gab,1,test,deep,false,true,false,true
1116693455739195393_twitter,2,test,deep,false,true,false,false
22742019_gab,2,test,deep,false,true,false,false
12723660_gab,0,test,deep,false,true,false,true
1179000518242422784_twitter,1,test,deep,false,true,false,true
15421677_gab,1,test,deep,false,true,false,true
10010219_gab,1,test,deep,false,true,false,true
9527123_gab,2,test,deep,false,true,false,false
15256768_gab,2,test,deep,false,true,false,false
16038876_gab,1,test,deep,false,true,false,true
13603926_gab,2,test,deep,false,true,false,false
3396176_gab,2,test,deep,false,true,false,false
1178675656634372096_twitter,0,test,deep,false,true,false,true
1104904416430194688_twitter,1,test,deep,false,true,false,true
1125127639012917250_twitter,1,test,deep,false,true,false,true
1089964829866024960_twitter,2,test,deep,false,true,false,false
13699885_gab,0,test,deep,false,true,false,true
1188342473464135685_twitter,2,test,deep,false,true,false,false
1179103905621434369_twitter,2,test,deep,false,true,false,false
11114636_gab,1,test,deep,false,true,false,true
15309406_gab,1,test,deep,false,true,false,true
25079715_gab,1,test,deep,false,true,false,true
19608046_gab,0,test,deep,false,true,false,true
8279790_gab,0,test,deep,false,true,false,true
25345049_gab,0,test,deep,false,true,false,true
1218589835155427328_twitter,1,test,deep,false,true,false,true
1178755833359994893_twitter,1,test,deep,false,true,false,true
1179063570719559680_twitter,2,test,deep,false,true,false,false
21726323_gab,0,test,deep,false,true,false,true
19040513_gab,2,test,deep,false,true,false,false
14527061_gab,1,test,deep,false,true,false,true
15513414_gab,0,test,deep,false,true,false,true
1118521140471898112_twitter,1,test,deep,false,true,false,true
20628487_gab,1,test,deep,false,true,false,true
13383879_gab,1,test,deep,false,true,false,true
26089002_gab,0,test,deep,false,true,false,true
1179027881495842816_twitter,2,test,deep,false,true,false,false
1179081870665031680_twitter,1,test,deep,false,true,false,true
13771543_gab,2,test,deep,false,true,false,false
27359525_gab,1,test,deep,false,true,false,true
1179046376468033536_twitter,2,test,deep,false,true,false,false
1179021226246692864_twitter,2,test,deep,false,true,false,false
15400774_gab,1,test,deep,false,true,false,true
1266977469371944961_twitter,2,test,deep,false,true,false,false
1114981420508827648_twitter,2,test,deep,false,true,true,false
24946336_gab,1,test,deep,false,true,false,true
27057892_gab,0,test,deep,false,true,false,true
8391527_gab,0,test,deep,false,true,false,true
26350830_gab,1,test,deep,false,true,false,true
26094518_gab,2,test,deep,false,true,false,false
1179048516058075136_twitter,0,test,deep,false,true,false,true
23440601_gab,1,test,deep,false,true,false,true
1178866756435079168_twitter,2,test,deep,false,true,false,false
16905410_gab,0,test,deep,false,true,false,true
9314019_gab,2,test,deep,false,true,false,false
1079795475560218626_twitter,1,test,deep,false,true,false,true
19987718_gab,0,test,deep,false,true,false,true
18738836_gab,1,test,deep,false,true,false,true
15448544_gab,0,test,deep,false,true,false,true
13675383_gab,1,test,deep,false,true,false,true
1267061401597521920_twitter,1,test,deep,false,true,false,true
24761613_gab,0,test,deep,false,true,false,true
21854608_gab,0,test,deep,false,true,false,true
1178179417585147904_twitter,0,test,deep,false,true,false,true
7740932_gab,1,test,deep,false,true,false,true
1179097057942020097_twitter,2,test,deep,false,true,false,false
1251685574546583553_twitter,1,test,deep,false,true,false,true
12914760_gab,0,test,deep,false,true,false,true
1241973914625921024_twitter,1,test,deep,false,true,false,true
1178828762764341248_twitter,2,test,deep,false,true,false,false
17963658_gab,0,test,deep,false,true,false,true
13218655_gab,2,test,deep,false,true,false,false
1272904276801699850_twitter,2,test,deep,false,true,false,false
1170780805137874944_twitter,1,test,deep,false,true,false,true
18138686_gab,0,test,deep,false,true,false,true
11937928_gab,0,test,deep,false,true,false,true
15122698_gab,1,test,deep,false,true,false,true
13829718_gab,0,test,deep,false,true,false,true
10880498_gab,2,test,deep,false,true,false,false
16377782_gab,1,test,deep,false,true,false,true
1162565308663644161_twitter,2,test,deep,false,true,false,false
8442798_gab,1,test,deep,false,true,false,true
1179098148310044672_twitter,0,test,deep,false,true,false,true
26325611_gab,1,test,deep,false,true,false,true
15891685_gab,0,test,deep,false,true,false,true
1109817267590709249_twitter,2,test,deep,false,true,false,false
1178826128338780160_twitter,2,test,deep,false,true,false,false
13565733_gab,0,test,deep,false,true,false,true
1179073601556889600_twitter,2,test,deep,false,true,true,false
1268337183037030407_twitter,1,test,deep,false,true,false,true
1178808202730721280_twitter,0,test,deep,false,true,false,true
1178711725924855808_twitter,0,test,deep,false,true,false,true
24217620_gab,0,test,deep,false,true,false,true
1178705120470548480_twitter,2,test,deep,false,true,false,false
1179073367791591424_twitter,2,test,deep,false,true,false,false
16387934_gab,0,test,deep,false,true,false,true
23069299_gab,0,test,deep,false,true,false,true
27438791_gab,0,test,deep,false,true,false,true
1179083861441093632_twitter,1,test,deep,false,true,false,true
1258692523603746816_twitter,1,test,deep,false,true,false,true
24232732_gab,1,test,deep,false,true,false,true
1181235518908047360_twitter,2,test,deep,false,true,false,false
1160195525238513664_twitter,2,test,deep,false,true,false,false
1110212333303971840_twitter,1,test,deep,false,true,false,true
1178880084154834944_twitter,2,test,deep,false,true,false,false
19350480_gab,0,test,deep,false,true,false,true
1246653239535104005_twitter,0,test,deep,false,true,false,true
23263213_gab,1,test,deep,false,true,false,true
16118406_gab,0,test,deep,false,true,false,true
14601968_gab,2,test,deep,false,true,false,false
1246662045451288576_twitter,1,test,deep,false,true,false,true
13791088_gab,1,test,deep,false,true,false,true
1179097091089371137_twitter,0,test,deep,false,true,false,true
1174340141881733122_twitter,2,test,deep,false,true,false,false
1179012495689867264_twitter,0,test,deep,false,true,false,true
11083058_gab,1,test,deep,false,true,false,true
1272645324645990406_twitter,2,test,deep,false,true,false,false
21563650_gab,0,test,deep,false,true,false,true
20200119_gab,2,test,deep,false,true,false,false
1178569121371426816_twitter,2,test,deep,false,true,false,false
1178693749767098369_twitter,2,test,deep,false,true,false,false
1092391125686669312_twitter,2,test,deep,false,true,false,false
6156507_gab,2,test,deep,false,true,false,false
17448265_gab,0,test,deep,false,true,false,true
23290012_gab,1,test,deep,false,true,false,true
1179094638231031808_twitter,2,test,deep,false,true,false,false
1178225289236598784_twitter,0,test,deep,false,true,false,true
21037385_gab,2,test,deep,false,true,false,false
15451081_gab,0,test,deep,false,true,false,true
24218254_gab,0,test,deep,false,true,false,true
12182895_gab,1,test,deep,false,true,false,true
14486576_gab,0,test,deep,false,true,false,true
1178830793545781249_twitter,2,test,deep,false,true,false,false
1079617783862824960_twitter,2,test,deep,false,true,false,false
1179105117565575171_twitter,2,test,deep,false,true,false,false
1179081516544069635_twitter,2,test,deep,false,true,false,false
26030631_gab,0,test,deep,false,true,false,true
26212911_gab,0,test,deep,false,true,false,true
24039364_gab,0,test,deep,false,true,false,true
14385535_gab,1,test,deep,false,true,false,true
1087471095572160512_twitter,0,test,deep,false,true,false,true
2004278_gab,0,test,deep,false,true,false,true
1109709817927458816_twitter,1,test,deep,false,true,false,true
1103507021104525313_twitter,2,test,deep,false,true,false,false
13543018_gab,1,test,deep,false,true,false,true
1178771830552907777_twitter,2,test,deep,false,true,false,false
1178895426512138240_twitter,2,test,deep,false,true,false,false
1178361474558943232_twitter,0,test,deep,false,true,false,true
1179086984964272128_twitter,2,test,deep,false,true,false,false
8527409_gab,1,test,deep,false,true,false,true
17464469_gab,0,test,deep,false,true,false,true
1094597233109073925_twitter,1,test,deep,false,true,false,true
12685315_gab,1,test,deep,false,true,false,true
6042008_gab,0,test,deep,false,true,false,true
20081043_gab,0,test,deep,false,true,false,true
24436328_gab,0,test,deep,false,true,false,true
26496402_gab,0,test,deep,false,true,false,true
19713090_gab,2,test,deep,false,true,false,false
1217645340796555267_twitter,1,test,deep,false,true,false,true
22071691_gab,2,test,deep,false,true,false,false
17302354_gab,1,test,deep,false,true,false,true
1178664749971709952_twitter,1,test,deep,false,true,false,true
19377557_gab,0,test,deep,false,true,false,true
1179034368326565888_twitter,2,test,deep,false,true,false,false
5747853_gab,0,test,deep,false,true,false,true
1178768958846930946_twitter,1,test,deep,false,true,false,true
8549116_gab,1,test,deep,false,true,false,true
1178276990559801344_twitter,0,test,deep,false,true,false,true
22426796_gab,1,test,deep,false,true,false,true
1179085120764076033_twitter,2,test,deep,false,true,false,false
1178785323863527424_twitter,2,test,deep,false,true,false,false
2533405_gab,2,test,deep,false,true,false,false
1179082498304888833_twitter,2,test,deep,false,true,false,false
13751869_gab,1,test,deep,false,true,false,true
1179895157757489158_twitter,2,test,deep,false,true,false,false
11237027_gab,1,test,deep,false,true,false,true
6978106_gab,1,test,deep,false,true,false,true
12078978_gab,1,test,deep,false,true,false,true
6201187_gab,2,test,deep,false,true,false,false
1088092706457440256_twitter,2,test,deep,false,true,false,false
15538772_gab,1,test,deep,false,true,false,true
1178494435904151552_twitter,2,test,deep,false,true,false,false
16189047_gab,0,test,deep,false,true,false,true
16968190_gab,0,test,deep,false,true,false,true
20397801_gab,0,test,deep,false,true,false,true
20906157_gab,0,test,deep,false,true,false,true
19683769_gab,0,test,deep,false,true,false,true
26137273_gab,1,test,deep,false,true,false,true
1117054098774339584_twitter,2,test,deep,false,true,false,false
4347712_gab,2,test,deep,false,true,false,false
1187846220179484674_twitter,2,test,deep,false,true,false,false
1178696097394515969_twitter,2,test,deep,false,true,false,false
1089941857667293184_twitter,2,test,deep,false,true,false,false
20557451_gab,0,test,deep,false,true,false,true
8073987_gab,1,test,deep,false,true,false,true
4875003_gab,2,test,deep,false,true,false,false
18534478_gab,2,test,deep,false,true,false,false
14316860_gab,0,test,deep,false,true,false,true
1178920631338881024_twitter,2,test,deep,false,true,false,false
1201234857973575680_twitter,1,test,deep,false,true,false,true
13173409_gab,0,test,deep,false,true,false,true
1179087612583141376_twitter,2,test,deep,false,true,false,false
16154448_gab,2,test,deep,false,true,false,false
18532486_gab,0,test,deep,false,true,false,true
13162665_gab,1,test,deep,false,true,false,true
13676567_gab,0,test,deep,false,true,false,true
27491646_gab,0,test,deep,false,true,false,true
1178766947443527681_twitter,2,test,deep,false,true,false,false
26994313_gab,1,test,deep,false,true,false,true
1179038601067130882_twitter,1,test,deep,false,true,false,true
1185885487917088768_twitter,2,test,deep,false,true,false,false
1177586147276578817_twitter,2,test,deep,false,true,false,false
11983762_gab,0,test,deep,false,true,false,true
20672422_gab,1,test,deep,false,true,false,true
1206413758060519426_twitter,1,test,deep,false,true,false,true
1179086659515748353_twitter,2,test,deep,false,true,false,false
16436843_gab,1,test,deep,false,true,false,true
17610820_gab,0,test,deep,false,true,false,true
1228804005591179265_twitter,2,test,deep,false,true,false,false
1178815148267593728_twitter,2,test,deep,false,true,false,false
1080843707643944965_twitter,2,test,deep,false,true,true,false
15739905_gab,0,test,deep,false,true,false,true
20685925_gab,0,test,deep,false,true,false,true
5241413_gab,0,test,deep,false,true,false,true
1104165115828584449_twitter,1,test,deep,false,true,false,true
1179029035285962758_twitter,2,test,deep,false,true,false,false
1178783140879327234_twitter,2,test,deep,false,true,false,false
2984846_gab,1,test,deep,false,true,false,true
1247195286235201536_twitter,1,test,deep,false,true,false,true
3988519_gab,0,test,deep,false,true,false,true
1268038905137369088_twitter,0,test,deep,false,true,false,true
1178884879049560064_twitter,2,test,deep,false,true,false,false
22987236_gab,0,test,deep,false,true,false,true
1178529859624026113_twitter,2,test,deep,false,true,false,false
1178784136917585920_twitter,1,test,deep,false,true,false,true
1179098867989647363_twitter,2,test,deep,false,true,false,false
1178824377661640706_twitter,2,test,deep,false,true,false,false
20044841_gab,2,test,deep,false,true,false,false
17385785_gab,2,test,deep,false,true,false,false
27299725_gab,0,test,deep,false,true,false,true
1179050537679036416_twitter,1,test,deep,false,true,false,true
27241910_gab,0,test,deep,false,true,false,true
19633206_gab,1,test,ablation,false,false,true,true
19801022_gab,0,test,ablation,false,false,true,true
21764118_gab,0,test,ablation,false,false,true,true
1244719373606170629_twitter,2,test,ablation,false,false,true,false
1179018525194772480_twitter,2,test,ablation,false,false,true,false
14521688_gab,0,test,ablation,false,false,true,true
1179407930657005568_twitter,1,test,ablation,false,false,true,true
1178784612685885441_twitter,1,test,ablation,false,false,true,true
27704094_gab,0,test,ablation,false,false,true,true
5017270_gab,0,test,ablation,false,false,true,true
22816151_gab,0,test,ablation,false,false,true,true
1186701665900085248_twitter,1,test,ablation,false,false,true,true
1125080079833415681_twitter,1,test,ablation,false,false,true,true
1178998885555085312_twitter,1,test,ablation,false,false,true,true
25809327_gab,0,test,ablation,false,false,true,true
1178751939019968513_twitter,1,test,ablation,false,false,true,true
12154153_gab,0,test,ablation,false,false,true,true
1179098988445872128_twitter,2,test,ablation,false,false,true,false
1090254282983583744_twitter,2,test,ablation,false,false,true,false
11783332_gab,2,test,ablation,false,false,true,false
7084693_gab,2,test,ablation,false,false,true,false
1184096701134622720_twitter,2,test,ablation,false,false,true,false
1091173137532796933_twitter,2,test,ablation,false,false,true,false
27441881_gab,0,test,ablation,false,false,true,true
5581411_gab,1,test,ablation,false,false,true,true
1179088696009777154_twitter,2,test,ablation,false,false,true,false
10503615_gab,2,test,ablation,false,false,true,false
1179072047479234562_twitter,1,test,ablation,false,false,true,true
16178840_gab,1,test,ablation,false,false,true,true
1087224984639033344_twitter,2,test,ablation,false,false,true,false
25417338_gab,0,test,ablation,false,false,true,true
1160667616777822215_twitter,2,test,ablation,false,false,true,false
8079416_gab,0,test,ablation,false,false,true,true
19110926_gab,0,test,ablation,false,false,true,true
1207166286335217665_twitter,2,test,ablation,false,false,true,false
12828471_gab,0,test,ablation,false,false,true,true
1109925413529149440_twitter,1,test,ablation,false,false,true,true
1179049783182401538_twitter,2,test,ablation,false,false,true,false
15479076_gab,0,test,ablation,false,false,true,true
13174503_gab,2,test,ablation,false,false,true,false
22566821_gab,1,test,ablation,false,false,true,true
13907443_gab,1,test,ablation,false,false,true,true
24190945_gab,0,test,ablation,false,false,true,true
1097107549227241472_twitter,2,test,ablation,false,false,true,false
